period,crude_imports_tbpd,crude_production_tbpd,total_petroleum_consumption_tbpd,refinery_runs_tbpd,crude_supply_to_refineries_tbpd,import_dependence_pct,imports_yoy_pct,refinery_runs_yoy_pct,import_minus_refinery_growth_pp
2015,6918.36,4300.00,11500.00,11500.00,11218.36,61.67,,,
2016,7620.11,3995.89,11800.00,11800.00,11616.00,65.60,10.14,2.61,7.53
2017,8403.29,3883.56,12100.00,12100.00,12286.85,68.39,10.28,2.54,7.74
2018,9238.06,3847.95,12500.00,12500.00,13086.01,70.59,9.93,3.31,6.63
2019,10185.48,3873.97,12800.00,12800.00,14059.45,72.45,10.26,2.40,7.86
2020,10855.07,3898.63,13000.00,13000.00,14753.70,73.58,6.57,1.56,5.01
2021,10320.55,3994.52,13500.00,13500.00,14315.07,72.10,-4.92,3.85,-8.77
2022,10470.41,4087.67,14000.00,14000.00,14558.08,71.92,1.45,3.70,-2.25
2023,11300.00,4200.00,14800.00,14800.00,15500.00,72.90,7.92,5.71,2.21
2024,11100.00,4324.68,14200.00,14200.00,15424.68,71.96,-1.77,-4.05,2.28
